Sentence,Label
"Build and test primary maths skills with different weekly challenges.Learn and practise:Times tablesAddition and subtractionMultiplication and divisionFractions and decimalsRatio and proportionShapes and measurementAlgebra and statisticsPlace valueWe’ve made some exciting changes to the game:Play a new set of challenge questions each week and see how many weeks you can complete.Gain achievements for fighting battles, defeating enemies and unlocking armour.Face the golden dragon for the chance to win golden weapons for your character.To enable these new features we unfortunately needed to wipe your previous character and progress data.",Maths KS2 - Guardians: Defenders of Mathematica
We really hope you’ll enjoy playing the updated game and fighting the battle to save Mathematica again.,Maths KS2 - Guardians: Defenders of Mathematica
"Choose a character, then add, subtract, divide and multiply your way to victory in this fun maths game.Challenge yourself across 10 different KS2 maths topics from the Mysterious Mountains of Multiplication to the Deadly Sea of Shapes.",Maths KS2 - Guardians: Defenders of Mathematica
"If you're feeling really brave, test your maths abilities in the Battle for Mathematica.Are you ready to take on the Times Table trials?",Maths KS2 - Guardians: Defenders of Mathematica
Put your times table knowledge to the test by answering questions against the clock.Battle courageously and you'll be rewarded with many great riches to apply to your character.,Maths KS2 - Guardians: Defenders of Mathematica
A number can be made of more than one digit.,What is place value?
"We use place value headings, like ones, tens, hundreds and thousands to help us understand the value of each digit.",What is place value?
Watch this Teacher Talk about reading and writing numbers to one hundred.,Numbers to 100 in numerals and words
Here is a place value chart.,Numbers to 100 in numerals and words
What do you notice about the chart?,Numbers to 100 in numerals and words
Are there any patterns?,Numbers to 100 in numerals and words
"The chart shows ones, tens and hundreds.",Numbers to 100 in numerals and words
"Underneath each number, is the number written in words.",Numbers to 100 in numerals and words
"The top row are all single digit numbers, in order from the smallest to the largest, e.g.",Numbers to 100 in numerals and words
"1, 2, 3… The middle row shows all the tens in order, starting with 10 to the largest, e.g.",Numbers to 100 in numerals and words
"10, 20, 30… The bottom row shows all the hundreds in order too, e.g.",Numbers to 100 in numerals and words
"100, 200, 300... Eleven, twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen and nineteen aren’t written on the place value chart.",Numbers to 100 in numerals and words
Why do you think they are they missing?,Numbers to 100 in numerals and words
